title	company	location	link
Frontend Developer (Javascript/React)	Bepro Company	서울	https://kr.indeed.com/viewjob?jk=d11342cfe074df78
Android Developer	Bepro Company	서울	https://kr.indeed.com/viewjob?jk=c6bf8184940d37c3
iOS Developer	Bepro Company	서울	https://kr.indeed.com/viewjob?jk=297e6568c740f98e
저축은행 디지털금융본부 Data Science 팀 CSS운영 경력자	국내자본 저축은행	서울 구로구	https://kr.indeed.com/viewjob?jk=bfb3ee6d45d67013
대기업 검색엔진 개발 (대리과장급)	차량IT 전문 기업 (대기업)	서울	https://kr.indeed.com/viewjob?jk=c58a6764306089e9
시스템 엔지니어	Success Korea	서울 삼성동	https://kr.indeed.com/viewjob?jk=516545e5882be38c
Technical Artist	Success Korea	서울 강남구	https://kr.indeed.com/viewjob?jk=220551aa57f5eed8
운영(Business Operation Management) 경력자	유명메신저회사	서울 성동구	https://kr.indeed.com/viewjob?jk=caccb1d9be6bc918
Software Integration Engineer	Success Korea	서울	https://kr.indeed.com/viewjob?jk=d0ad8d53ad979e23
Operations Associate (운영팀원) - 한국	Beam	서울	https://kr.indeed.com/viewjob?jk=e58c6fe6fd87f03e
개인화 추천서비스 개발	Success Korea	서울 삼성동	https://kr.indeed.com/viewjob?jk=18d4b759113240ca
Video Solution System Engineer	Success Korea	서울	https://kr.indeed.com/viewjob?jk=838599aa8cfbcf47
IT 강소기업 JAVA 솔루션 개발자 (경력직) (성수동)	휴먼브릿지앤코	서울	https://kr.indeed.com/viewjob?jk=c34f716ce3a4d2d0
2015년도 하반기 국립기상과학원 연구원(기간제근로자) (마감: 2015.11.27.)	기상청	대한민국	https://kr.indeed.com/viewjob?jk=db942c4ebdfb908a
빅데이터 플랫폼 운영 및 분석구현	Success Korea	서울	https://kr.indeed.com/viewjob?jk=89d3bffd37a2487a
"[긴급] C-ITS 등 교통산업 컨설팅, 수주 전략 기획, 제안 ( 대리-차장, 서울 )"	에이스파트너스서치펌	서울	https://kr.indeed.com/viewjob?jk=6330ea418e4347c4
기술영업(신입/경력)	에이치알 코리아	대한민국	https://kr.indeed.com/viewjob?jk=9fa9d498506f86aa
Video Analytics(VA) Software Developer	Success Korea	서울	https://kr.indeed.com/viewjob?jk=ca46d5dccd5e9d73
2018년 제2차 기상레이더센터 연구원(장애인) 특별	기상청	대한민국	https://kr.indeed.com/viewjob?jk=628e527f7e9ca158
[해외취업] 얼바인 소재 모바일 엑세서리 대기업 하반기 _Front-End Developer	피제이넥서스	대한민국	https://kr.indeed.com/viewjob?jk=4bd2e836d472ecba
[유펜솔루션] 웹 크롤링 엔진 개발자 경력 (서울)	유펜솔루션	서울 강남구	https://kr.indeed.com/viewjob?jk=f5f3bc6e243a4d9e
웹개발팀장	Success Korea	서울 잠실역	https://kr.indeed.com/viewjob?jk=c4e7809eb035c7ee
cloud/saas개발	Success Korea	서울	https://kr.indeed.com/viewjob?jk=6373005ce9ee17b0
빅데이터 전략/마케팅 (과~차장)	Success Korea	서울 중구	https://kr.indeed.com/viewjob?jk=c81984fb6cd9a0c6
저축은행 소비자금융본부 Data Science 팀	국내자본 저축은행	서울 구로구	https://kr.indeed.com/viewjob?jk=7376f377161ea4f2
서버 개발(사원~과장급)	Success Korea	서울 가산디지털단지역	https://kr.indeed.com/viewjob?jk=4801b7535e8bc40d
웹개발자	Success Korea	서울 잠실역	https://kr.indeed.com/viewjob?jk=2936adf2a7318db5
2014년도 국립기상연구소 연구원(기간제근로자) 특별 (기상기후 빅데이터 분석)	기상청	대한민국	https://kr.indeed.com/viewjob?jk=1fed0b76bf278b41
"[긴급] C-ITS 등 교통산업 컨설팅, 수주 전략 기획, 제안 ( 대리-부장급, 서울 )"	에이스파트너스서치펌	서울	https://kr.indeed.com/viewjob?jk=bf15fe82944586d0
전산팀 개발 담당	Success Korea	서울 역삼동	https://kr.indeed.com/viewjob?jk=2d6e7d69a6ba52d6
[경력직] 클라우드 플랫폼(PaaS) 엔지니어 채용	에이치알 코리아	서울	https://kr.indeed.com/viewjob?jk=8d09144c7027cb06
저축은행 디지털마케팅본부 데이터분석 경력자	국내자본 저축은행	서울 구로구	https://kr.indeed.com/viewjob?jk=074bbbc1b7c4d596
시니어 백엔드 개발자(Senior Back-end Developer)	큐피스트	서울 청담동	https://kr.indeed.com/viewjob?jk=6f5f95ef23cb05f8
[글로벌 Vacuum Pump 제조사] S/W Test Engineer 경력직 채용	(주)씨앤에이코리아	천안 서북구	https://kr.indeed.com/viewjob?jk=7bb1e2b604c071e6
Platform server 개발자	Success Korea	성남 분당구	https://kr.indeed.com/viewjob?jk=3da2537c07ea7706
SW 개발	Success Korea	서울 신논현역	https://kr.indeed.com/viewjob?jk=6561c937add50cc4
